Country;ISO3166_alpha3;pop;Years
Azerbaijan;AZE;7.989903;1998
Azerbaijan;AZE;8.054126;1999
Azerbaijan;AZE;8.122743;2000
Azerbaijan;AZE;8.197295;2001
Azerbaijan;AZE;8.277065;2002
Azerbaijan;AZE;8.361433;2003
Azerbaijan;AZE;8.448938;2004
Azerbaijan;AZE;8.53861;2005
Azerbaijan;AZE;8.630153;2006
Azerbaijan;AZE;8.724237;2007
Azerbaijan;AZE;8.821869;2008
Azerbaijan;AZE;8.924383;2009
Azerbaijan;AZE;9.032465;2010
Azerbaijan;AZE;9.146277;2011
Azerbaijan;AZE;9.264684;2012
Azerbaijan;AZE;9.385467;2013
Azerbaijan;AZE;9.505616;2014
Azerbaijan;AZE;9.622741;2015
Azerbaijan;AZE;9.736041;2016
Azerbaijan;AZE;9.845316;2017
Azerbaijan;AZE;9.949537;2018
Azerbaijan;AZE;10.047719;2019
Bahrain;BHR;0.187432;1965
Bahrain;BHR;0.191785;1966
Bahrain;BHR;0.19606;1967
Bahrain;BHR;0.200652;1968
Bahrain;BHR;0.206037;1969
Bahrain;BHR;0.212607;1970
Bahrain;BHR;0.220311;1971
Bahrain;BHR;0.229151;1972
Bahrain;BHR;0.239527;1973
Bahrain;BHR;0.251908;1974
Bahrain;BHR;0.26654;1975
Bahrain;BHR;0.283746;1976
Bahrain;BHR;0.303169;1977
Bahrain;BHR;0.323468;1978
Bahrain;BHR;0.342804;1979
Bahrain;BHR;0.359897;1980
Bahrain;BHR;0.37412;1981
Bahrain;BHR;0.385953;1982
Bahrain;BHR;0.396451;1983
Bahrain;BHR;0.407233;1984
Bahrain;BHR;0.419428;1985
Bahrain;BHR;0.433478;1986
Bahrain;BHR;0.448981;1987
Bahrain;BHR;0.465198;1988
Bahrain;BHR;0.481081;1989
Bahrain;BHR;0.495927;1990
Bahrain;BHR;0.509762;1991
Bahrain;BHR;0.523082;1992
Bahrain;BHR;0.536212;1993
Bahrain;BHR;0.54959;1994
Bahrain;BHR;0.563698;1995
Bahrain;BHR;0.578661;1996
Bahrain;BHR;0.594927;1997
Bahrain;BHR;0.613697;1998
Bahrain;BHR;0.63654;1999
Bahrain;BHR;0.66461;2000
Bahrain;BHR;0.69755;2001
Bahrain;BHR;0.73514;2002
Bahrain;BHR;0.778708;2003
Bahrain;BHR;0.829846;2004
Bahrain;BHR;0.889157;2005
Bahrain;BHR;0.958423;2006
Bahrain;BHR;1.035924;2007
Bahrain;BHR;1.114645;2008
Bahrain;BHR;1.185075;2009
Bahrain;BHR;1.240864;2010
Bahrain;BHR;1.278153;2011
